Raw Tweets,Clean Tweets,Sentiment
@Petty__LBJ @NFL @Titans @packers @Chargers @greggrosenthal 😂😂,LBJ,0.0
@NFL @Titans @packers @Chargers @greggrosenthal @TristanD161,,0.0
@NHLonNBCSports @DustinFox37 @Titans Nothing quite like crossover from pro teams. Watched @Cavs go bonkers during… https://t.co/hBz8wFCNDQ,Nothing quite like crossover from pro teams Watched go bonkers during,0.0
@NFL @Titans @packers @Chargers @greggrosenthal  https://t.co/2xfK2YAlJ8,,0.0
@NFL @Titans @packers @Chargers @greggrosenthal we love it,we love it,0.5
@NFL @Titans @packers @Chargers @greggrosenthal And this will happen again https://t.co/LMHvedbfTF,And this will happen again,0.0
"10 Most Improved Teams at the 2018 #NFLDraft:

1. @Titans 
2. @packers
3. @Chargers
4-10. https://t.co/znQThDBSJx (… https://t.co/XRwfiy33WQ",10 Most Improved Teams at the 2018 NFLDraft 1 2 3 4 10,0.5
Top tennessee titans articles from last 48 hrs https://t.co/knhoC3MlSt,Top tennessee titans articles from last 48 hrs,0.25
@SNFonNBC @Titans @tdreiling9156 this is why Taylor Lewan is my favorite player.,this is why Taylor Lewan is my favorite player,0.5
Lets go @Titans 😂😂 https://t.co/KoG0JiklAw,Lets go,0.0
"#Titans GM Jon Robinson proved he was drafting for a Super Bowl in this weekend’s draft. 

#Preds Intermission Read… https://t.co/tzZCzZubzv",Titans GM Jon Robinson proved he was drafting for a Super Bowl in this weekend s draft Preds Intermission Read,0.3333333333333333
@jfelix15 @Titans @TaylorLewan77 @MattJamilton @TeamUSA yessir 🙌🏼,yessir,0.0
@SNFonNBC @Titans Malandro... HAHAHAHAHAHAHAHAHAHAHAHA @leosobral3 @CapnLuigi @caiolissoni @eduzolin,Malandro HAHAHAHAHAHAHAHAHAHAHAHA,0.0
Can we set up a drink off between the @Titans O-Line vs the eagles o-line? Maybe for the rights to host the 2019 dr… https://t.co/Bb8FfpY4fP,Can we set up a drink off between the O Line vs the eagles o line Maybe for the rights to host the 2019 dr,0.0
@highpockets84 @TaylorLewan77 @Titans He snapped. Fo real,He snapped Fo real,0.2
To complete this tweet you need to switch accounts and retweet it from the @titans account https://t.co/03GJKJHAmx,To complete this tweet you need to switch accounts and retweet it from the account,0.1
Let’s be real...We all love a bad boy #TitanUp @Titans @TaylorLewan77 @Jack_Conklin78 @quinton_spain https://t.co/qiV96jADUF,Let s be real We all love a bad boy TitanUp Conklin78 spain,3.700743415417188e-17
LOOK: The Tennessee Titans' offensive line used a catfish as a beer l - Yardbarker https://t.co/3p6S9b3nH8,LOOK The Tennessee Titans offensive line used a catfish as a beer l Yardbarker,0.0
Why we love football. 300lb men luge some cold boys down one fine catfish. Respect to the @Titans https://t.co/bEo9qQEugG,Why we love football 300lb men luge some cold boys down one fine catfish Respect to the,0.04027777777777779
@Goodarcm @crudestcub123 @bIackweeb @Titans “Just friends” https://t.co/yPTRHihSwt,Just friends,0.0
Can’t wait to see what he does after the @Titans win the Super Bowl this season https://t.co/A92R3nCqTE,Can t wait to see what he does after the win the Super Bowl this season,0.5666666666666667
"Instant first-round grade: #Titans ILB Rashaan Evans via @FanSided 2018 #NFLDraft
https://t.co/taPki8j9YG",Instant first round grade Titans ILB Rashaan Evans via 2018 NFLDraft,0.016666666666666663
@SNFonNBC @Titans We've reached drinking out of a fish stage and I'm ok with that.,We ve reached drinking out of a fish stage and I m ok with that,0.5
@SNFonNBC @Titans what's up with the fish? lol,what s up with the fish lol,0.8
@NHLonNBCSports @Titans Amazing...,Amazing,0.6000000000000001
@Newsom_12 @adamrank @Titans @dloman62,12,0.0
@NHLonNBCSports @Titans Love that Marcus almost as much as Taylor,Love that Marcus almost as much as Taylor,0.35
@TaylorLewan77 watching you bong a beer off a catfish has convinced me to pledge my undying allegiance to you and a… https://t.co/peMMvnZWDp,watching you bong a beer off a catfish has convinced me to pledge my undying allegiance to you and a,0.0
"Persistence pays off for #Titans' ""Trader Jon"" Robinson, who bolsters roster and frustrates rivals with draft maneu… https://t.co/988SLL0NUz",Persistence pays off for Titans Trader Jon Robinson who bolsters roster and frustrates rivals with draft maneu,0.0
This reminds me of our Eagles players drinking and celebrating down Broad...what have the @Titans  won?! https://t.co/Poimwe1nrh,This reminds me of our Eagles players drinking and celebrating down Broad what have the won,-0.04652777777777779
The @Titans might be my favorite @PredsNHL fans ever. #StanleyCup #Playoffs #NashvillePreds https://t.co/1LFF3E2Pcw,The might be my favorite fans ever StanleyCup Playoffs NashvillePreds,0.5
@NHLonNBCSports @Titans This dude is just gross. I’m embarrassed for him. This idiot is a professional athlete repr… https://t.co/IPdwTtX3ZE,This dude is just gross I m embarrassed for him This idiot is a professional athlete repr,-0.23333333333333336
My favorite thing about preds games is not only the the “heyyyy you suck” but that all the @Titans players get drun… https://t.co/GT0P3zdnry,My favorite thing about preds games is not only the the heyyyy you suck but that all the players get drun,0.25
The @Titans OL brings it. #love https://t.co/TVQG8St29M,The OL brings it love,0.5
