Raw Tweets,Clean Tweets,Sentiment
Hopefully we will have some QB protection and win some games @Colts @JimIrsay https://t.co/uT9tjHZoxe,Hopefully we will have some QB protection and win some games,0.8
@Colts @ZiggySmalls_ WE READY.....,WE READY,0.2
"Indianapolis Colts: D+
The Colts got the best player in the draft with Nelson, but they had two high second rounder… https://t.co/A1J8nIkfHM",Indianapolis Colts D The Colts got the best player in the draft with Nelson but they had two high second rounder,0.38666666666666666
Here’s the inside scoop from @Colts on their 4th &amp; 5th round draft picks announced live from @TCMIndy’s… https://t.co/7QagCneqX8,Here s the inside scoop from on their 4th amp 5th round draft picks announced live from s,-0.03181818181818183
@joshuagrady_ @jordanwilkins2 @Colts 2-2 100%,2 2 100,0.0
@tonyhunterajh @jwick23 @TitoFatanastri1 @Colts Other than Barkley no other RB in this draft was a sure thing beast… https://t.co/SPJw50jBYq,Other than Barkley no other RB in this draft was a sure thing beast,0.14583333333333334
@tonyhunterajh @jwick23 @TitoFatanastri1 @Colts I think no one would know if they were beasts because they were pla… https://t.co/ANqmTUZAAV,I think no one would know if they were beasts because they were pla,0.0
"@Austn37 @Colts @Reece_JMM @cainera1_ @JL_Chapman @EatSleepFF I really like what the Patriots, Ravens, Giants, Colt… https://t.co/7IwtEIfLRA",JMM Chapman I really like what the Patriots Ravens Giants Colt,0.2
@shelbipotts @Colts thank you shelbi!!! 💘,thank you shelbi,0.0
"Top 3 #AFC / #NFC destinations for @DezBryant #WR 88 #NFL 🏈

With team success 🏆 stats/numbers &amp; potential snap opp… https://t.co/7ILQKCeRJ9",Top 3 AFC NFC destinations for WR 88 NFL With team success stats numbers amp potential snap opp,0.26666666666666666
@B_Fulghum17 @coulterelliget9 @Evan_Ausbrooks @Colts He clogged up a lot but I don’t think he was better.,Fulghum17 Ausbrooks He clogged up a lot but I don t think he was better,0.5
"Update: Iowa OL Boone Myers earns tryout with Ravens, Colts - https://t.co/4lZA5l2dYh via https://t.co/BJJW8qrcFn",Update Iowa OL Boone Myers earns tryout with Ravens Colts via,0.0
@NelsoJonah @Brian_Fuller7 @jwick23 @TitoFatanastri1 @Colts Mack? A beast? Nah. “Ok”? Yeah.,Fuller7 Mack A beast Nah Ok Yeah,0.5
@NiftyNeckbeard @BleedColtsBlue @Colts Don't waste your time with him. He started crying the second we drafted Nels… https://t.co/D2gYeL8Fut,Don t waste your time with him He started crying the second we drafted Nels,-0.13333333333333333
"@Colts And only 1 will make the roster, waste of 10 other picks!",And only 1 will make the roster waste of 10 other picks,-0.10833333333333334
"On the third day of the @NFL Draft, @Colts players announced draft picks live from the Sports Legends Experience at… https://t.co/nEiYQToYqb",On the third day of the Draft players announced draft picks live from the Sports Legends Experience at,0.06818181818181818
@MikeCirino_ @Colts EEAAATTT!!!!  Congratulations bro!!!!,EEAAATTT Congratulations bro,0.0
@UofLFootball @Colts You got this! #L1C4,You got this L1C4,0.0
@Colts hope they were 11 offensive lineman,hope they were 11 offensive lineman,0.0
Congratulations to @MikeCirino_ former @VCPirateFB on signing with the @Colts well deserved #VCFF https://t.co/sPMSEb5GYz,Congratulations to former on signing with the well deserved VCFF,0.0
Stanford alum and Defensive Lineman Henry Anderson went from the Indianapolis Colts to the Active roster of the New… https://t.co/LLwl3NU4kw,Stanford alum and Defensive Lineman Henry Anderson went from the Indianapolis Colts to the Active roster of the New,0.001515151515151511
