Raw Tweets,Clean Tweets,Sentiment
"@LukeEasterling @Seahawks @Ravens @Shaquemgriffin @Lj_era8 Going too add a browns ,ravens ,arziona jersey",era8 Going too add a browns ravens arziona jersey,0.0
@HulkHogan @Softykjr @Shaquemgriffin @ShaquillG @Seahawks It's about this time on the Seahawks clock https://t.co/qkvxh9zfZ2,It s about this time on the Seahawks clock,0.0
This tweet has aged well. @Seahawks https://t.co/1UoZ2fpgRJ,This tweet has aged well,-0.1
@MyVonnesmooth01 @north24side @NFL @Shaquemgriffin @Seahawks @ShaquillG @espn Most moving sport moment I’v seen whe… https://t.co/3qKEInWIIi,Most moving sport moment I v seen whe,0.5
"@Seahawks, pls https://t.co/n5AUAZSXaJ",pls,0.0
@YahooSchwab @nfl disagrees with you about the @Seahawks https://t.co/8y0n3VJUDS,disagrees with you about the,0.0
"Shaquem Griffin on emotional day: 'It was like I was dreaming' https://t.co/fKBiAYLBgj
via @ESPN App https://t.co/rZmussFCtE",Shaquem Griffin on emotional day It was like I was dreaming via App,0.0
@HulkHogan @ShaquillG @Shaquemgriffin @Seahawks No way!! my favorite wrestler ever with my favorite seahawk on my f… https://t.co/8tTA75mTyp,No way my favorite wrestler ever with my favorite seahawk on my f,0.5
Anyone else still feeling like the last few days were an amazing whirlwind?! We drafted @Shaquemgriffin and… https://t.co/t8F784BJXV,Anyone else still feeling like the last few days were an amazing whirlwind We drafted and,0.13333333333333336
@DangeRussWilson @Seahawks @Shaquemgriffin @ShaquillG Indeed Chills! I am a fan of him too! I am fan of seahwks thI… https://t.co/BBgD5HdWRh,Indeed Chills I am a fan of him too I am fan of seahwks thI,0.0
@HulkHogan @Softykjr @Shaquemgriffin @ShaquillG @Seahawks @Daveparis25,,0.0
Tears as one-handed player joins twin in NFL team https://t.co/RXg7NqSeHw,Tears as one handed player joins twin in NFL team,0.0
@UMichFootball @Thatboylid80 @Seahawks Congratulations!!!🎈,Congratulations,0.0
https://t.co/PxQ5aISJJp,,0.0
See the emotional moment Shaquem Griffin found out he'll be a Seahawk with his brother https://t.co/eIPAj5OZz0 via @forthewin,See the emotional moment Shaquem Griffin found out he ll be a Seahawk with his brother via,0.0
@hawkblogger @ShaquillG @Shaquemgriffin @Seahawks Had the EXACT same thought yesterday.,Had the EXACT same thought yesterday,0.125
@gradsax @Mike_Hunt425 @Seahawks Fuck u Mike Saxon,Hunt425 Fuck u Mike Saxon,-0.4
"@TheSeaGals @Seahawks @SeaGalShayne If they are so important, why don’t you pay them adequately?",If they are so important why don t you pay them adequately,0.3666666666666667
"Been watchin @jf3_5 since Last Chance U, glad I get to see him make it to the league as a @Seahawks",Been watchin 5 since Last Chance U glad I get to see him make it to the league as a,0.25
From CBSNews: Shaquem Griffin joins Seattle Seahawks https://t.co/D4yUeM57Z6,From CBSNews Shaquem Griffin joins Seattle Seahawks,0.0
@Seahawks @49ers @RamsNFL @AZCardinals @Patriots @buffalobills @MiamiDolphins @nyjets @dallascowboys @Eagles… https://t.co/ipuLWrE6dJ,,0.0
@Seahawks @pennyhendrixx @ras_green @Will_Diss @Shaquemgriffin @_Slimm7 @mdcksn @jjones_74 @JacobSpeaks_… https://t.co/ILABwAli08,green Diss Slimm7 74,-0.2
@Tahzh_ @Seahawks Congratulations you deserve it,Congratulations you deserve it,0.0
Shaquem Griffin on emotional day: 'It was like I was dreaming' https://t.co/KeYVaaL8bN https://t.co/czqMDyXpET,Shaquem Griffin on emotional day It was like I was dreaming,0.0
"Continues to inspire -&gt; Shaquem Griffin drafted by Seahawks, becomes first one-handed player picked in NFL draft mo… https://t.co/sKyks8pWpb",Continues to inspire gt Shaquem Griffin drafted by Seahawks becomes first one handed player picked in NFL draft mo,0.25
@Seahawks @Shaquemgriffin For a minute I thought that was a shot of Diamond and Silk!,For a minute I thought that was a shot of Diamond and Silk,0.0
".@Seahawks could have one of the fastest players the NFL ever has and ever will see

Good luck @TheTrackMamba! https://t.co/JQ8W3TUNdq",could have one of the fastest players the NFL ever has and ever will see Good luck,0.7
@DangeRussWilson @Seahawks @Shaquemgriffin @ShaquillG This warm my heart so much. Being a football fan and a Miami… https://t.co/Q4Dm5RD2wB,This warm my heart so much Being a football fan and a Miami,0.4
Tears as one-handed player joins twin in NFL team https://t.co/g0NMplSwCP,Tears as one handed player joins twin in NFL team,0.0
@NFL @FunnyCostaki @Shaquemgriffin @Seahawks @UCF_Football Gay ass hair,Football Gay ass hair,0.4166666666666667
My next two @Seahawks jerseys @Shaquemgriffin and @ShaquillG #GoHawks 🙌🏻💙💚🏈❤️,My next two jerseys and GoHawks,0.0
@iquitcounting @Seahawks @RSherman_25 @Shaquemgriffin @pennyhendrixx The name reading for the NFL created a lot of… https://t.co/Ufuy7HMow3,25 The name reading for the NFL created a lot of,0.0
"@Garykagey @MLS @LAFC @SoundersFC @Seahawks I’m aware, but in the context of this game, and since the vast majority… https://t.co/klpWeLpoVg",I m aware but in the context of this game and since the vast majority,-0.05000000000000001
@nyjets @buffalobills @MiamiDolphins @steelers @Titans @Seahawks @nflcommish @AtlantaFalcons @Browns https://t.co/tj5QyDi5In,,0.0
"Seattle Seahawks. That team has melted away bit by bit since 2014, too. https://t.co/7BwSmmrqGl",Seattle Seahawks That team has melted away bit by bit since 2014 too,0.0
"Another great CBS Weekend News piece: Shaquem Griffin, one handed linebacker, joins Seattle Seahawks https://t.co/4ozI3kSNXd",Another great CBS Weekend News piece Shaquem Griffin one handed linebacker joins Seattle Seahawks,0.8
@WillieGeist @Seahawks @Shaquemgriffin This 12 is very happy to have an inspirational guy and a dynamite football p… https://t.co/6L6P8pHwdq,This 12 is very happy to have an inspirational guy and a dynamite football p,0.75
@CSUFootball @Seahawks @nc_lander_76 Another 🐑 up on Seattle - will be pulling for you as both a #CSUAlumni and… https://t.co/lw4C4Cm5vh,lander 76 Another up on Seattle will be pulling for you as both a CSUAlumni and,0.0
@Urantian01 @mamle10210 @Seahawks @wyatthillard There were times when he was on his back in 2 seconds.... that’s no… https://t.co/emJe2mvNlX,There were times when he was on his back in 2 seconds that s no,0.0
My prayers were answered in the 2018 #NFLDraft .. @Seahawks you made the right call with this one!! Welcome home… https://t.co/17a3e2BZ7q,My prayers were answered in the 2018 NFLDraft you made the right call with this one Welcome home,0.5428571428571429
@LoganTuckerDay2 @Mike_Hunt425 @Seahawks Ya honestly mike get a grip,Hunt425 Ya honestly mike get a grip,0.6
@Turfthedog @Seahawks Did they hide a bone in there on ya??!,Did they hide a bone in there on ya,0.0
@NFL @HoustonTexans @Patriots @MiamiDolphins @Saints @RAIDERS @49ers @Seahawks @Broncos @Browns @RamsNFL @Chargers… https://t.co/oiZHVMOUET,,0.0
"@PeteCarroll  @Seahawks @seahawksPR To Mr. Carroll and The Seattle Seahawks Organization. FIRST, Congratulations on… https://t.co/jVQsmERwOy",To Mr Carroll and The Seattle Seahawks Organization FIRST Congratulations on,0.25
"@LuciaMaria83 @MLS @LAFC @SoundersFC @Seahawks 12th man is actually copyrighted by Texas A&amp;M and the hawks, and sev… https://t.co/rlRdypnuSW",12th man is actually copyrighted by Texas A amp M and the hawks and sev,0.0
SEATTLE SEAHAWKS DRAFT UCF LB SHAQUEM GRIFFIN – Seattle Videos https://t.co/o0pKfulomg https://t.co/BLSpvEqpmN,SEATTLE SEAHAWKS DRAFT UCF LB SHAQUEM GRIFFIN Seattle Videos,0.0
@AtlantaFalcons  @Jaguars  @Panthers  @titans  @saints @Colts  @RAIDERS  @packers  @DraftDiamonds  @HoustonTexans… https://t.co/VJuO2K8it3,,0.0
Well....I’ve never been to Seattle before @mwruester @chetcastille @Seahawks 👀👀👀 https://t.co/bKvY0H2On3,Well I ve never been to Seattle before,0.0
@FrankLaMee @TheMikeSalk Pete Prisco from https://t.co/9B2qZDavNI gave @Seahawks a D+ I’m not sure what the plus was for? #GoHawks #12s,Pete Prisco from gave a D I m not sure what the plus was for GoHawks 12s,-0.25
But the @Seahawks are done talking about it LOL . https://t.co/F29Oy1libm,But the are done talking about it LOL,0.8
Seattle #Seahawks 2018 #NFLDraft Grade -  C+ #NFL https://t.co/80hyP4ZlyQ via @YouTube,Seattle Seahawks 2018 NFLDraft Grade C NFL via,0.0
"@MLS @LAFC @SoundersFC Your reporter just referenced 12th man in regards to LA fans and is wearing LAFC gear...uh,… https://t.co/K4DsIzLBBD",Your reporter just referenced 12th man in regards to LA fans and is wearing LAFC gear uh,0.0
@marvelous_ree @NFL @Shaquemgriffin @Seahawks @ShaquillG @espn Trust the Process,ree Trust the Process,0.0
@SeaHawkFORLife @Seahawks @Shaquemgriffin Been a student of football since the 60's &amp; luvin my Hawks since 76'. I'm… https://t.co/crxOmRWOHl,Been a student of football since the 60 s amp luvin my Hawks since 76 I m,0.0
"Seattle #Seahawks 2018 schedule release: Games, dates and times via @FanSided #NFL
https://t.co/Rvl0mG8L0M",Seattle Seahawks 2018 schedule release Games dates and times via NFL,0.0
Tears as one-handed player joins twin in NFL team https://t.co/A1vOxQ3ZWU,Tears as one handed player joins twin in NFL team,0.0
@HoisingtonAaron @HOGmiah @Seahawks Haha dude ur so funny,Haha dude ur so funny,0.225
"#12: 353,529 views Shaquem Griffin reacts to being drafted by the Seattle Seahawks | ESPN https://t.co/yGf1PhAosf",12 353 529 views Shaquem Griffin reacts to being drafted by the Seattle Seahawks ESPN,0.0
@JackPhan @Seahawks :) :-) (:,,0.0
